poolId,ticker,stakeAmount,"21,513,965,191,494,200",Cumulative,Bifrost stakeAmount,"17,242,689,233,737,000",Cumulative,51%
pool1qfxukshs4fkcrflzdnxa2fdza5lfvew3y6echg8ckaa4q8m5hyf,NEDS1,"57,492,706,027,457",0.27%,41.22%,"57,492,706,027,457",0.27%,29.03%,
pool1cf7mqj0xd8z4jqhr7nf565mxuvepk8euv5t6ehmuwe49kfz9llr,TOKAI,"57,344,479,561,297",0.27%,41.48%,"57,344,479,561,297",0.27%,29.30%,
pool1ft4xjlz9uw0r0ewcgtkgeakqrfc5azxmxwsm5pt94dv67mw4rgd,1LOVE,"56,733,977,329,270",0.26%,41.75%,"56,733,977,329,270",0.26%,29.56%,
pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp,EVE1,"56,694,678,346,229",0.26%,42.01%,"56,694,678,346,229",0.26%,29.83%,
pool1vev8z03vh7jwx3mfrgzrt9fltt97nupaxv8ffj4r5r8mgwts5ze,ADAOZ,"56,589,898,478,991",0.26%,42.27%,"56,589,898,478,991",0.26%,30.09%,
pool1xjhzgchsl2ccvc5pj3aqytv9hh0jnaz63wtfnw4th07tjypm46x,SECUR,"56,419,006,340,752",0.26%,42.54%,"56,419,006,340,752",0.26%,30.35%,
pool1ksrg8a964464las0ymw88slrwxkychjz9lh09lqltu5m7nw3pq0,QUEEN,"55,830,210,869,429",0.26%,42.79%,"55,830,210,869,429",0.26%,30.61%,
pool1wvaj307ee8jfewv9qjtgk0q3elmpe5lz4n2dec2303062f7dc4c,N/A,"55,739,950,091,097",0.26%,43.05%,"55,739,950,091,097",0.26%,30.87%,
pool147tju4482jtl253lgqq88fkefdugcuhaumf8m0rcj8uzxu846qm,N/A,"55,723,812,169,501",0.26%,43.31%,"55,723,812,169,501",0.26%,31.13%,
pool1s6se64qce5rjjjhh6ufcdnc54p8qg78mlhjm38lymx99sqysvzx,PAUL1,"55,279,446,452,371",0.26%,43.57%,"55,279,446,452,371",0.26%,31.39%,
pool16eua0zalaln7q0s9u7jzlyygqad0pu2l2qdxx8r8ueqrw2jdhqf,ETO9,"54,629,260,118,552",0.25%,43.82%,"54,629,260,118,552",0.25%,31.64%,
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,"54,622,688,073,466",0.25%,44.08%,"54,622,688,073,466",0.25%,31.89%,
pool1f9934hk9awd25mmxl0dd2haqvda9nlquwnh5pv64hs42znl07zj,,"53,990,008,022,914",0.25%,44.33%,,0.00%,31.89%,
